TotalAmount;BikePurchase;CustomerID;Country;CountryRegionCode;Group;PersonID;PersonType;DateFirstPurchase;yearpurchase;monthpurchase;daypurchase;BirthDate;Age;MaritalStatus;YearlyIncome;Gender;TotalChildren;Education;Occupation;HomeOwnerFlag;NumberCarsOwned
42,28;0;21172;Australia;AU;Pacific;16721;IN;2003-09-13 00:00:00.000;2003;9;13;1968-05-07 00:00:00.000;53;M;50001-75000;M;5;Bachelors ;Professional;0;3
42,28;0;21174;Australia;AU;Pacific;16058;IN;2004-03-22 00:00:00.000;2004;3;22;1967-03-13 00:00:00.000;54;M;50001-75000;M;5;Bachelors ;Professional;1;3
35;0;21175;Australia;AU;Pacific;6935;IN;2004-01-22 00:00:00.000;2004;1;22;1967-07-24 00:00:00.000;54;S;75001-100000;M;5;Graduate Degree;Management;1;2
35;0;21176;Australia;AU;Pacific;9523;IN;2003-08-03 00:00:00.000;2003;8;3;1967-08-10 00:00:00.000;54;M;75001-100000;M;5;Graduate Degree;Management;1;2
39,99;0;21177;Australia;AU;Pacific;16572;IN;2004-02-07 00:00:00.000;2004;2;7;1967-02-14 00:00:00.000;54;M;75001-100000;F;5;Graduate Degree;Management;1;2
39,99;0;21178;Australia;AU;Pacific;15313;IN;2004-02-13 00:00:00.000;2004;2;13;1966-06-08 00:00:00.000;55;M;75001-100000;F;5;Bachelors ;Professional;0;3
32,28;0;21181;Australia;AU;Pacific;3046;IN;2004-03-17 00:00:00.000;2004;3;17;1965-09-19 00:00:00.000;56;S;50001-75000;F;3;Bachelors ;Professional;1;1
32,28;0;21182;Australia;AU;Pacific;14112;IN;2004-06-07 00:00:00.000;2004;6;7;1965-11-13 00:00:00.000;56;M;50001-75000;F;3;Bachelors ;Professional;1;1
74,98;0;21184;Australia;AU;Pacific;2895;IN;2004-02-28 00:00:00.000;2004;2;28;1968-08-17 00:00:00.000;53;S;50001-75000;M;0;Bachelors ;Professional;0;1
39,99;0;21185;Australia;AU;Pacific;9419;IN;2004-07-03 00:00:00.000;2004;7;3;1968-04-25 00:00:00.000;53;M;75001-100000;M;5;Bachelors ;Professional;1;4
35;0;21186;Australia;AU;Pacific;14977;IN;2003-10-28 00:00:00.000;2003;10;28;1965-02-04 00:00:00.000;56;S;50001-75000;M;0;Bachelors ;Professional;0;1
32,28;0;21187;Australia;AU;Pacific;9558;IN;2004-01-02 00:00:00.000;2004;1;2;1964-10-16 00:00:00.000;57;M;50001-75000;M;3;Bachelors ;Professional;1;2
123,96;0;21188;Australia;AU;Pacific;4116;IN;2003-12-01 00:00:00.000;2003;12;1;1964-07-19 00:00:00.000;57;M;50001-75000;M;4;Bachelors ;Professional;1;2
42,28;0;21190;Australia;AU;Pacific;1707;IN;2003-08-12 00:00:00.000;2003;8;12;1963-02-23 00:00:00.000;58;S;50001-75000;M;0;Bachelors ;Professional;0;1
34,98;0;21196;Australia;AU;Pacific;18567;IN;2004-02-27 00:00:00.000;2004;2;27;1961-05-13 00:00:00.000;60;M;50001-75000;F;1;Partial College;Skilled Manual;1;1
69,97;0;21198;Australia;AU;Pacific;12315;IN;2004-04-03 00:00:00.000;2004;4;3;1961-06-19 00:00:00.000;60;M;50001-75000;F;1;Bachelors ;Professional;1;1
74,98;0;21204;Australia;AU;Pacific;17805;IN;2004-03-25 00:00:00.000;2004;3;25;1966-08-23 00:00:00.000;55;S;75001-100000;F;0;Bachelors ;Professional;0;1
123,96;0;21207;Australia;AU;Pacific;17941;IN;2003-11-26 00:00:00.000;2003;11;26;1960-07-16 00:00:00.000;61;M;50001-75000;M;1;Partial College;Skilled Manual;1;1
39,98;0;21208;Australia;AU;Pacific;19373;IN;2003-10-30 00:00:00.000;2003;10;30;1932-06-05 00:00:00.000;89;S;25001-50000;F;2;Partial College;Clerical;1;2
39,99;0;21209;Australia;AU;Pacific;14959;IN;2004-03-10 00:00:00.000;2004;3;10;1965-06-19 00:00:00.000;56;S;50001-75000;M;0;Bachelors ;Professional;0;1
39,99;0;21210;Australia;AU;Pacific;13488;IN;2003-09-25 00:00:00.000;2003;9;25;1965-04-03 00:00:00.000;56;S;75001-100000;M;5;Bachelors ;Professional;1;4
74,98;0;21212;Australia;AU;Pacific;5263;IN;2003-08-25 00:00:00.000;2003;8;25;1964-11-23 00:00:00.000;57;S;50001-75000;M;0;Bachelors ;Professional;0;1
64,26;0;21213;Australia;AU;Pacific;20435;IN;2004-04-28 00:00:00.000;2004;4;28;1964-11-16 00:00:00.000;57;S;50001-75000;M;0;Bachelors ;Professional;0;1
74,98;0;21220;Australia;AU;Pacific;18797;IN;2003-10-01 00:00:00.000;2003;10;1;1962-07-02 00:00:00.000;59;M;50001-75000;F;5;Partial College;Skilled Manual;1;2
29,99;0;21221;Australia;AU;Pacific;16737;IN;2004-01-30 00:00:00.000;2004;1;30;1961-07-22 00:00:00.000;60;M;50001-75000;M;1;Partial College;Skilled Manual;1;1
56,98;0;21223;Australia;AU;Pacific;3075;IN;2003-09-26 00:00:00.000;2003;9;26;1961-09-24 00:00:00.000;60;S;50001-75000;F;5;Partial College;Skilled Manual;1;3
42,28;0;21224;Australia;AU;Pacific;14644;IN;2004-04-10 00:00:00.000;2004;4;10;1958-03-10 00:00:00.000;63;M;75001-100000;M;2;Bachelors ;Professional;1;1
26,97;0;21227;Australia;AU;Pacific;8702;IN;2004-03-27 00:00:00.000;2004;3;27;1953-10-11 00:00:00.000;68;M;25001-50000;F;2;Partial College;Clerical;0;2
39,98;0;21232;Australia;AU;Pacific;7933;IN;2004-06-21 00:00:00.000;2004;6;21;1949-06-10 00:00:00.000;72;M;0-25000;M;2;High School;Skilled Manual;1;2
119,98;0;21233;Southwest;US;North America;18651;IN;2003-10-06 00:00:00.000;2003;10;6;1976-03-15 00:00:00.000;45;M;25001-50000;M;0;High School;Skilled Manual;0;2
119,98;0;21234;Southwest;US;North America;19203;IN;2003-08-22 00:00:00.000;2003;8;22;1976-01-12 00:00:00.000;45;S;25001-50000;F;0;High School;Skilled Manual;1;2
77,92;0;21236;Northwest;US;North America;14438;IN;2004-02-26 00:00:00.000;2004;2;26;1975-04-16 00:00:00.000;46;S;25001-50000;M;0;High School;Skilled Manual;1;1
69,99;0;21237;Southwest;US;North America;5105;IN;2004-02-13 00:00:00.000;2004;2;13;1980-02-10 00:00:00.000;41;M;25001-50000;M;0;High School;Skilled Manual;1;2
39,55;0;21238;Canada;CA;North America;16942;IN;2003-10-05 00:00:00.000;2003;10;5;1980-09-25 00:00:00.000;41;S;25001-50000;M;0;High School;Skilled Manual;0;2
7,28;0;21239;Australia;AU;Pacific;11364;IN;2004-01-01 00:00:00.000;2004;1;1;1937-11-03 00:00:00.000;84;M;25001-50000;F;2;Partial College;Clerical;0;2
119,98;0;21240;Southwest;US;North America;5489;IN;2003-09-21 00:00:00.000;2003;9;21;1979-09-02 00:00:00.000;42;S;25001-50000;M;0;Partial High School;Clerical;0;2
78,98;0;21241;Northwest;US;North America;13271;IN;2003-11-11 00:00:00.000;2003;11;11;1979-02-11 00:00:00.000;42;S;25001-50000;M;0;Partial High School;Clerical;0;2
78,98;0;21242;Southwest;US;North America;20728;IN;2003-09-13 00:00:00.000;2003;9;13;1978-06-16 00:00:00.000;43;S;25001-50000;F;0;Partial High School;Clerical;1;2
14,98;0;21243;Southwest;US;North America;15155;IN;2004-02-07 00:00:00.000;2004;2;7;1978-10-06 00:00:00.000;43;M;25001-50000;M;0;High School;Skilled Manual;0;2
49,97;0;21244;Southwest;US;North America;8683;IN;2003-12-06 00:00:00.000;2003;12;6;1978-02-16 00:00:00.000;43;M;25001-50000;F;0;High School;Skilled Manual;1;2
22,93;0;21245;Southwest;US;North America;12399;IN;2003-12-24 00:00:00.000;2003;12;24;1978-06-24 00:00:00.000;43;M;25001-50000;F;0;High School;Skilled Manual;0;2
14,98;0;21247;Northwest;US;North America;14227;IN;2004-04-06 00:00:00.000;2004;4;6;1978-12-11 00:00:00.000;43;M;25001-50000;M;0;High School;Skilled Manual;1;2
34,98;0;21248;Australia;AU;Pacific;6394;IN;2004-02-11 00:00:00.000;2004;2;11;1938-05-14 00:00:00.000;83;M;25001-50000;M;2;Bachelors ;Management;1;2
69,97;0;21249;Northeast;US;North America;4925;IN;2004-05-29 00:00:00.000;2004;5;29;1977-03-18 00:00:00.000;44;S;25001-50000;M;0;High School;Skilled Manual;0;2
14,98;0;21250;Northwest;US;North America;13103;IN;2003-10-26 00:00:00.000;2003;10;26;1977-10-24 00:00:00.000;44;M;25001-50000;M;0;High School;Skilled Manual;1;2
191,27;0;21251;Canada;CA;North America;18707;IN;2004-01-09 00:00:00.000;2004;1;9;1979-10-11 00:00:00.000;42;S;25001-50000;F;0;Partial High School;Clerical;0;2
94,45;0;21252;Canada;CA;North America;5470;IN;2003-08-14 00:00:00.000;2003;8;14;1979-02-16 00:00:00.000;42;S;25001-50000;M;0;Partial High School;Clerical;1;2
89,97;0;21254;Australia;AU;Pacific;8488;IN;2003-08-15 00:00:00.000;2003;8;15;1939-12-10 00:00:00.000;82;M;25001-50000;F;2;Partial College;Clerical;0;2
32,28;0;21255;Australia;AU;Pacific;4913;IN;2003-09-09 00:00:00.000;2003;9;9;1939-09-02 00:00:00.000;82;M;50001-75000;F;2;Graduate Degree;Management;1;1
14,98;0;21260;Northwest;US;North America;8571;IN;2004-03-30 00:00:00.000;2004;3;30;1976-06-15 00:00:00.000;45;S;25001-50000;F;0;High School;Skilled Manual;1;2
69,97;0;21261;Southwest;US;North America;3499;IN;2003-10-21 00:00:00.000;2003;10;21;1976-06-03 00:00:00.000;45;S;25001-50000;F;0;Partial College;Skilled Manual;1;1
68,97;0;21262;Southwest;US;North America;9366;IN;2004-06-08 00:00:00.000;2004;6;8;1976-06-01 00:00:00.000;45;S;25001-50000;F;0;Partial College;Skilled Manual;0;1
4,99;0;21263;Canada;CA;North America;12210;IN;2003-12-08 00:00:00.000;2003;12;8;1975-02-08 00:00:00.000;46;S;25001-50000;F;0;Partial College;Skilled Manual;0;1
78,48;0;21270;Northwest;US;North America;18648;IN;2004-01-07 00:00:00.000;2004;1;7;1967-11-09 00:00:00.000;54;S;greater than 100000;M;0;Graduate Degree;Management;1;0
14,98;0;21273;Northwest;US;North America;11094;IN;2004-01-22 00:00:00.000;2004;1;22;1968-03-26 00:00:00.000;53;M;75001-100000;F;2;Bachelors ;Management;1;3
39,98;0;21276;Canada;CA;North America;13872;IN;2004-04-14 00:00:00.000;2004;4;14;1978-07-12 00:00:00.000;43;M;25001-50000;M;0;High School;Skilled Manual;1;2
4,99;0;21277;Canada;CA;North America;4795;IN;2004-04-14 00:00:00.000;2004;4;14;1978-05-15 00:00:00.000;43;S;25001-50000;M;0;Partial High School;Clerical;0;2
14,98;0;21278;Northwest;US;North America;10481;IN;2004-07-02 00:00:00.000;2004;7;2;1978-04-20 00:00:00.000;43;S;25001-50000;F;0;Partial High School;Clerical;0;2
4,99;0;21279;Australia;AU;Pacific;1708;IN;2004-02-02 00:00:00.000;2004;2;2;1947-04-07 00:00:00.000;74;M;0-25000;F;2;Partial High School;Clerical;1;2
39,47;0;21280;Northwest;US;North America;18103;IN;2004-06-12 00:00:00.000;2004;6;12;1978-12-23 00:00:00.000;43;S;25001-50000;M;0;Partial College;Skilled Manual;0;1
124,94;0;21283;Australia;AU;Pacific;18735;IN;2003-10-16 00:00:00.000;2003;10;16;1945-03-21 00:00:00.000;76;M;0-25000;M;4;High School;Skilled Manual;1;2
14,98;0;21285;Northwest;US;North America;8888;IN;2003-11-17 00:00:00.000;2003;11;17;1963-10-15 00:00:00.000;58;M;75001-100000;F;0;Partial College;Professional;0;1
68,97;0;21286;Southwest;US;North America;1709;IN;2004-05-18 00:00:00.000;2004;5;18;1963-09-03 00:00:00.000;58;S;75001-100000;M;0;Partial College;Professional;1;2
44,98;0;21287;Southwest;US;North America;15138;IN;2004-02-16 00:00:00.000;2004;2;16;1963-11-16 00:00:00.000;58;M;greater than 100000;F;4;Bachelors ;Management;1;4
14,98;0;21288;Southwest;US;North America;17466;IN;2003-10-29 00:00:00.000;2003;10;29;1963-06-13 00:00:00.000;58;S;greater than 100000;M;3;Bachelors ;Management;0;4
23,97;0;21290;Northwest;US;North America;14321;IN;2004-05-20 00:00:00.000;2004;5;20;1962-06-19 00:00:00.000;59;S;75001-100000;M;1;Partial College;Professional;0;3
14,98;0;21292;Northwest;US;North America;17552;IN;2004-03-05 00:00:00.000;2004;3;5;1962-05-09 00:00:00.000;59;M;75001-100000;M;1;Partial College;Professional;1;4
9,99;0;21294;Southwest;US;North America;6672;IN;2003-10-14 00:00:00.000;2003;10;14;1962-06-01 00:00:00.000;59;M;greater than 100000;M;1;Bachelors ;Management;1;4
56,97;0;21295;Canada;CA;North America;18077;IN;2004-05-11 00:00:00.000;2004;5;11;1961-12-21 00:00:00.000;60;M;50001-75000;M;5;Partial College;Professional;1;3
99,96;0;21296;Northwest;US;North America;17371;IN;2004-07-19 00:00:00.000;2004;7;19;1961-11-24 00:00:00.000;60;M;75001-100000;M;5;Partial College;Professional;0;3
93,46;0;21298;Northwest;US;North America;15745;IN;2003-09-27 00:00:00.000;2003;9;27;1961-03-25 00:00:00.000;60;M;75001-100000;M;4;High School;Professional;1;1
78,48;0;21299;Northwest;US;North America;13055;IN;2003-09-04 00:00:00.000;2003;9;4;1961-07-17 00:00:00.000;60;M;75001-100000;F;4;High School;Professional;1;1
14,98;0;21301;Northwest;US;North America;9848;IN;2004-07-22 00:00:00.000;2004;7;22;1955-09-09 00:00:00.000;66;S;75001-100000;F;2;Partial High School;Skilled Manual;0;2
69,97;0;21302;Northwest;US;North America;6465;IN;2003-11-23 00:00:00.000;2003;11;23;1955-02-08 00:00:00.000;66;M;75001-100000;M;2;Partial High School;Skilled Manual;1;2
68,97;0;21303;Southwest;US;North America;2879;IN;2004-01-29 00:00:00.000;2004;1;29;1955-08-14 00:00:00.000;66;M;50001-75000;F;2;High School;Professional;0;2
23,97;0;21304;Northwest;US;North America;8948;IN;2003-11-23 00:00:00.000;2003;11;23;1955-03-04 00:00:00.000;66;M;50001-75000;F;2;High School;Professional;0;2
4,99;0;21306;Canada;CA;North America;5331;IN;2004-06-07 00:00:00.000;2004;6;7;1955-03-05 00:00:00.000;66;S;50001-75000;M;2;High School;Professional;1;2
23,97;0;21307;Southwest;US;North America;11749;IN;2003-10-01 00:00:00.000;2003;10;1;1955-04-15 00:00:00.000;66;M;50001-75000;F;4;High School;Professional;1;0
81,46;0;21308;Canada;CA;North America;11977;IN;2004-06-11 00:00:00.000;2004;6;11;1955-06-17 00:00:00.000;66;M;50001-75000;F;4;High School;Professional;1;0
94,97;0;21312;Northwest;US;North America;16652;IN;2004-01-31 00:00:00.000;2004;1;31;1935-03-10 00:00:00.000;86;M;25001-50000;M;2;Graduate Degree;Management;1;2
9,99;0;21314;Northwest;US;North America;13705;IN;2004-06-28 00:00:00.000;2004;6;28;1936-06-06 00:00:00.000;85;M;50001-75000;M;2;Graduate Degree;Management;0;2
68,97;0;21316;Southwest;US;North America;18359;IN;2004-04-15 00:00:00.000;2004;4;15;1936-03-19 00:00:00.000;85;M;greater than 100000;M;2;Graduate Degree;Management;0;3
108,95;0;21317;Southwest;US;North America;3705;IN;2003-12-26 00:00:00.000;2003;12;26;1936-12-13 00:00:00.000;85;M;greater than 100000;F;2;Graduate Degree;Management;1;3
36,96;0;21318;Canada;CA;North America;14739;IN;2004-03-31 00:00:00.000;2004;3;31;1960-04-04 00:00:00.000;61;S;75001-100000;M;5;Partial College;Professional;0;3
23,97;0;21319;Northwest;US;North America;17775;IN;2004-05-31 00:00:00.000;2004;5;31;1960-09-07 00:00:00.000;61;M;75001-100000;M;4;High School;Professional;1;2
99,96;0;21320;Northwest;US;North America;13029;IN;2004-03-19 00:00:00.000;2004;3;19;1960-04-21 00:00:00.000;61;M;75001-100000;F;4;High School;Professional;1;2
49,97;0;21321;Northwest;US;North America;12435;IN;2003-09-16 00:00:00.000;2003;9;16;1960-09-24 00:00:00.000;61;S;75001-100000;M;4;High School;Professional;0;3
14,98;0;21322;Northwest;US;North America;14528;IN;2004-02-22 00:00:00.000;2004;2;22;1960-03-24 00:00:00.000;61;M;75001-100000;M;4;High School;Professional;1;3
68,97;0;21324;Southwest;US;North America;10316;IN;2003-10-22 00:00:00.000;2003;10;22;1960-02-09 00:00:00.000;61;M;greater than 100000;F;5;Partial College;Professional;0;4
69,97;0;21325;Southwest;US;North America;7684;IN;2003-10-26 00:00:00.000;2003;10;26;1960-07-10 00:00:00.000;61;M;greater than 100000;F;1;High School;Professional;1;4
49,97;0;21328;Southwest;US;North America;4434;IN;2004-01-09 00:00:00.000;2004;1;9;1954-02-09 00:00:00.000;67;S;50001-75000;M;2;Partial High School;Skilled Manual;0;2
49,97;0;21337;Northwest;US;North America;11077;IN;2004-02-21 00:00:00.000;2004;2;21;1952-11-21 00:00:00.000;69;S;25001-50000;F;3;Partial College;Professional;1;2
23,97;0;21338;Southwest;US;North America;19425;IN;2004-02-14 00:00:00.000;2004;2;14;1952-11-21 00:00:00.000;69;M;25001-50000;F;3;Partial College;Professional;0;2
39,98;0;21339;Canada;CA;North America;3413;IN;2003-08-07 00:00:00.000;2003;8;7;1937-03-28 00:00:00.000;84;S;50001-75000;F;3;Graduate Degree;Management;0;2
22,93;0;21340;Northwest;US;North America;5260;IN;2003-11-10 00:00:00.000;2003;11;10;1937-05-03 00:00:00.000;84;M;50001-75000;M;3;Graduate Degree;Management;1;2
14,98;0;21341;Southwest;US;North America;14150;IN;2004-07-10 00:00:00.000;2004;7;10;1938-09-16 00:00:00.000;83;M;50001-75000;M;3;Graduate Degree;Management;1;2
29,93;0;21345;Canada;CA;North America;19714;IN;2004-02-09 00:00:00.000;2004;2;9;1938-07-11 00:00:00.000;83;M;75001-100000;F;4;Graduate Degree;Management;1;2
14,98;0;21346;Southwest;US;North America;18060;IN;2004-01-15 00:00:00.000;2004;1;15;1939-09-02 00:00:00.000;82;M;50001-75000;M;3;Graduate Degree;Management;1;2
4,99;0;21347;Canada;CA;North America;12039;IN;2004-07-31 00:00:00.000;2004;7;31;1939-04-12 00:00:00.000;82;S;50001-75000;F;3;Graduate Degree;Management;1;2
69,97;0;21350;Southwest;US;North America;4549;IN;2003-08-27 00:00:00.000;2003;8;27;1940-05-02 00:00:00.000;81;M;50001-75000;F;5;Graduate Degree;Management;1;2
17,27;0;21351;Southwest;US;North America;6345;IN;2004-04-29 00:00:00.000;2004;4;29;1940-07-27 00:00:00.000;81;M;50001-75000;M;5;Graduate Degree;Management;1;2
44,98;0;21353;Northwest;US;North America;17400;IN;2004-01-15 00:00:00.000;2004;1;15;1941-01-05 00:00:00.000;80;S;25001-50000;F;4;Bachelors ;Management;1;2
9,99;0;21358;Southwest;US;North America;15454;IN;2003-09-26 00:00:00.000;2003;9;26;1941-05-02 00:00:00.000;80;M;50001-75000;M;5;Graduate Degree;Management;1;2
93,97;0;21360;Australia;AU;Pacific;18899;IN;2004-03-12 00:00:00.000;2004;3;12;1947-11-13 00:00:00.000;74;M;0-25000;M;4;High School;Skilled Manual;1;2
93,97;0;21362;Australia;AU;Pacific;15647;IN;2004-07-22 00:00:00.000;2004;7;22;1947-09-20 00:00:00.000;74;M;25001-50000;M;2;Partial College;Clerical;0;2
4,99;0;21363;Australia;AU;Pacific;7420;IN;2003-10-29 00:00:00.000;2003;10;29;1948-02-09 00:00:00.000;73;M;0-25000;F;2;Partial High School;Clerical;1;2
7,28;0;21364;Canada;CA;North America;14508;IN;2004-07-29 00:00:00.000;2004;7;29;1977-04-09 00:00:00.000;44;S;25001-50000;M;0;Partial High School;Clerical;0;2
7,28;0;21365;Australia;AU;Pacific;16599;IN;2003-10-29 00:00:00.000;2003;10;29;1948-06-06 00:00:00.000;73;M;0-25000;F;2;Partial High School;Clerical;1;2
39,98;0;21366;Australia;AU;Pacific;2871;IN;2003-08-05 00:00:00.000;2003;8;5;1948-10-26 00:00:00.000;73;M;0-25000;M;2;Partial High School;Clerical;1;2
7,28;0;21367;Australia;AU;Pacific;7317;IN;2003-08-25 00:00:00.000;2003;8;25;1948-03-16 00:00:00.000;73;M;0-25000;F;2;Partial High School;Clerical;1;2
14,98;0;21368;Southwest;US;North America;15793;IN;2003-12-31 00:00:00.000;2003;12;31;1977-09-26 00:00:00.000;44;M;50001-75000;M;0;Partial College;Skilled Manual;1;2
39,98;0;21370;Australia;AU;Pacific;7992;IN;2004-01-17 00:00:00.000;2004;1;17;1949-02-04 00:00:00.000;72;M;0-25000;M;2;Partial High School;Clerical;1;2
7,28;0;21371;Australia;AU;Pacific;7237;IN;2004-01-07 00:00:00.000;2004;1;7;1949-04-13 00:00:00.000;72;M;0-25000;F;2;Partial High School;Clerical;1;2
74,96;0;21372;Australia;AU;Pacific;9128;IN;2004-02-22 00:00:00.000;2004;2;22;1949-03-18 00:00:00.000;72;S;0-25000;M;2;Partial High School;Clerical;1;2
15,23;0;21373;Australia;AU;Pacific;12578;IN;2003-09-13 00:00:00.000;2003;9;13;1949-02-22 00:00:00.000;72;M;0-25000;M;2;Partial High School;Clerical;0;2
7,28;0;21374;Australia;AU;Pacific;17601;IN;2003-09-12 00:00:00.000;2003;9;12;1949-11-03 00:00:00.000;72;M;0-25000;F;2;Partial High School;Clerical;1;2
39,98;0;21375;Australia;AU;Pacific;16954;IN;2003-09-03 00:00:00.000;2003;9;3;1949-05-24 00:00:00.000;72;S;0-25000;M;2;Partial High School;Clerical;1;2
4,99;0;21376;Australia;AU;Pacific;15224;IN;2004-02-26 00:00:00.000;2004;2;26;1950-03-13 00:00:00.000;71;M;0-25000;F;2;Partial High School;Clerical;1;2
69,99;0;21377;Australia;AU;Pacific;8844;IN;2003-12-06 00:00:00.000;2003;12;6;1950-02-17 00:00:00.000;71;S;0-25000;F;2;Partial High School;Clerical;1;2
78,98;0;21378;Australia;AU;Pacific;9886;IN;2004-01-18 00:00:00.000;2004;1;18;1950-12-09 00:00:00.000;71;M;0-25000;F;2;Partial High School;Clerical;1;2
69,99;0;21381;Australia;AU;Pacific;20765;IN;2004-05-16 00:00:00.000;2004;5;16;1950-01-02 00:00:00.000;71;M;25001-50000;M;3;Partial College;Clerical;0;2
69,99;0;21382;Australia;AU;Pacific;9409;IN;2003-08-13 00:00:00.000;2003;8;13;1950-05-24 00:00:00.000;71;M;25001-50000;M;3;Partial College;Clerical;0;2
69,99;0;21383;Australia;AU;Pacific;17033;IN;2004-05-03 00:00:00.000;2004;5;3;1951-08-11 00:00:00.000;70;M;0-25000;M;2;Partial High School;Clerical;1;2
32,28;0;21390;Australia;AU;Pacific;9308;IN;2004-06-10 00:00:00.000;2004;6;10;1953-04-16 00:00:00.000;68;M;25001-50000;M;3;Partial College;Skilled Manual;0;2
29,99;0;21391;Australia;AU;Pacific;12206;IN;2003-08-09 00:00:00.000;2003;8;9;1954-07-04 00:00:00.000;67;M;25001-50000;F;3;Partial High School;Clerical;0;2
29,99;0;21392;Australia;AU;Pacific;12060;IN;2004-05-20 00:00:00.000;2004;5;20;1954-02-22 00:00:00.000;67;M;25001-50000;F;3;Partial High School;Clerical;0;2
98,97;0;21395;Northwest;US;North America;7111;IN;2004-07-08 00:00:00.000;2004;7;8;1975-11-20 00:00:00.000;46;M;25001-50000;F;0;Partial College;Skilled Manual;1;2
49,97;0;21397;Northwest;US;North America;14833;IN;2004-01-18 00:00:00.000;2004;1;18;1975-06-09 00:00:00.000;46;M;25001-50000;M;0;High School;Skilled Manual;1;2
23,97;0;21398;Southwest;US;North America;6518;IN;2004-05-28 00:00:00.000;2004;5;28;1975-03-25 00:00:00.000;46;M;50001-75000;M;0;Partial College;Skilled Manual;1;2
9,99;0;21399;Southwest;US;North America;13880;IN;2004-05-01 00:00:00.000;2004;5;1;1975-11-25 00:00:00.000;46;M;50001-75000;M;0;Partial College;Skilled Manual;1;2
74,98;0;21405;Australia;AU;Pacific;3673;IN;2003-12-29 00:00:00.000;2003;12;29;1958-09-26 00:00:00.000;63;M;greater than 100000;F;5;Bachelors ;Management;1;4
74,98;0;21406;Australia;AU;Pacific;15789;IN;2003-09-19 00:00:00.000;2003;9;19;1959-04-12 00:00:00.000;62;M;greater than 100000;M;4;Bachelors ;Management;1;4
42,28;0;21407;Australia;AU;Pacific;18100;IN;2003-08-01 00:00:00.000;2003;8;1;1959-02-03 00:00:00.000;62;M;greater than 100000;M;4;Bachelors ;Management;1;4
35;0;21409;Australia;AU;Pacific;17036;IN;2003-10-26 00:00:00.000;2003;10;26;1959-06-25 00:00:00.000;62;M;greater than 100000;M;1;Bachelors ;Management;1;4
59,98;0;21412;Canada;CA;North America;5163;IN;2003-08-09 00:00:00.000;2003;8;9;1974-09-26 00:00:00.000;47;M;25001-50000;M;0;High School;Professional;1;2
14,98;0;21413;Northwest;US;North America;4479;IN;2003-12-26 00:00:00.000;2003;12;26;1974-01-08 00:00:00.000;47;M;50001-75000;M;0;Partial College;Professional;1;2
14,98;0;21414;Northwest;US;North America;5500;IN;2004-06-28 00:00:00.000;2004;6;28;1974-06-07 00:00:00.000;47;M;50001-75000;M;0;Partial College;Professional;1;2
49,97;0;21415;Northwest;US;North America;2831;IN;2004-04-13 00:00:00.000;2004;4;13;1974-07-22 00:00:00.000;47;S;50001-75000;F;0;Partial College;Professional;1;2
64,97;0;21419;Southwest;US;North America;8981;IN;2003-11-23 00:00:00.000;2003;11;23;1966-06-11 00:00:00.000;55;M;greater than 100000;M;2;Bachelors ;Management;1;3
78,48;0;21420;Southwest;US;North America;9931;IN;2004-05-02 00:00:00.000;2004;5;2;1957-09-17 00:00:00.000;64;S;50001-75000;F;2;Partial High School;Skilled Manual;0;2
99,96;0;21421;Northwest;US;North America;12566;IN;2004-01-23 00:00:00.000;2004;1;23;1957-02-23 00:00:00.000;64;M;50001-75000;F;2;High School;Professional;1;2
9,99;0;21425;Southwest;US;North America;17512;IN;2004-01-08 00:00:00.000;2004;1;8;1956-06-27 00:00:00.000;65;M;50001-75000;M;2;High School;Professional;0;2
74,46;0;21430;Southwest;US;North America;9230;IN;2004-03-17 00:00:00.000;2004;3;17;1932-10-05 00:00:00.000;89;M;75001-100000;F;3;Graduate Degree;Management;1;1
56,97;0;21431;Canada;CA;North America;3956;IN;2004-06-28 00:00:00.000;2004;6;28;1965-04-19 00:00:00.000;56;S;75001-100000;M;0;Bachelors ;Management;0;1
14,98;0;21432;Northwest;US;North America;8660;IN;2003-09-07 00:00:00.000;2003;9;7;1965-11-27 00:00:00.000;56;M;75001-100000;F;3;Bachelors ;Management;1;4
68,97;0;21433;Southwest;US;North America;10745;IN;2004-02-20 00:00:00.000;2004;2;20;1965-08-05 00:00:00.000;56;M;greater than 100000;M;3;Bachelors ;Management;1;4
7,28;0;21441;Canada;CA;North America;3736;IN;2004-07-16 00:00:00.000;2004;7;16;1942-08-14 00:00:00.000;79;M;25001-50000;M;4;Bachelors ;Management;1;2
14,98;0;21442;Southwest;US;North America;9176;IN;2003-08-15 00:00:00.000;2003;8;15;1942-05-22 00:00:00.000;79;S;25001-50000;F;4;Bachelors ;Management;1;2
49,97;0;21443;Northwest;US;North America;9240;IN;2003-08-30 00:00:00.000;2003;8;30;1942-05-10 00:00:00.000;79;M;50001-75000;F;5;Bachelors ;Management;1;2
22,93;0;21444;Southwest;US;North America;4188;IN;2003-11-26 00:00:00.000;2003;11;26;1942-12-23 00:00:00.000;79;M;50001-75000;M;5;Bachelors ;Management;1;2
113,47;0;21445;Northwest;US;North America;9289;IN;2003-09-01 00:00:00.000;2003;9;1;1943-03-17 00:00:00.000;78;M;50001-75000;F;3;Graduate Degree;Management;1;2
